artist,song,lyrics,neutral,joy,sadness,anger,fear,disgust,surprise,key,mode,tempo,energy,valence
BTS,Dynamite,"'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight

Shoes on, get up in the morn'
Cup of milk, let's rock and roll
King Kong, kick the drum
Rolling on like a Rolling Stone
Sing song when I'm walking home
Jump up to the top, LeBron
Ding-dong, call me on my phone
Ice tea and a game of ping pong

This is getting heavy
Can you hear the bass boom? I'm ready
Life is sweet as honey
Yeah, this beat cha-ching like money
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah

Bring a friend, join the crowd, whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night, the sky's alight, so we dance to the break of dawn
Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh

This is getting heavy, can you hear the bass boom? I'm ready (Woo-hoo)
Life is sweet as honey, yeah, this beat cha-ching like money
Disco overload, I'm into that, I'm good to go
I'm diamond and you know I glow up
Let’s go

'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight (Hey)
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah

Dyn-n-n-n-na-na-na, life is dynamite
Dyn-n-n-n-na-na-na, life is dynamite
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah

Dyn-n-n-n-na-na-na, ayy
Dyn-n-n-n-na-na-na, ayy
Dyn-n-n-n-na-na-na, ayy
Light it up like dynamite
Dyn-n-n-n-na-na-na, ayy
Dyn-n-n-n-na-na-na, ayy
Dyn-n-n-n-na-na-na, ayy
Light it up like dynamite

'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite
(This is ah) I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah (Light it up like dynamite)

Dyn-n-n-n-na-na-na, life is dynamite (Life is dynamite)
Dyn-n-n-n-na-na-na, life is dynamite
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, woah",0.433888703584671,0.21199752390384674,0.10346765071153641,0.09927600622177124,0.05588864907622337,0.04777948930859566,0.04770197719335556,6,0,114.04,0.77,0.74
BTS,FAKE LOVE,"Neol wihaeseoramyeon nan
Seulpeodo gippeun cheok hal suga isseosseo
Neol wihaeseolamyeon nan
Apado ganghan cheok hal suga isseosseo
Sarangi sarangmaneuro wanbyeokhagil
Nae modeun yakjeomdeureun da sumgyeojigil
Ilwojiji anhneun kkumsogeseo
Piul su eopsneun kkocheul kiwosseo

I'm so sick of this fake love, fake love, fake love
I'm so sorry but it's fake love, fake love, fake love

I wanna be a good man just for you
Sesangeul jwossne just for you
Jeonbu bakkwosseo just for you
Now I don't know me, who are you?
Urimanui sup neoneun eopseosseo
Naega wassdeon route ijeobeoryeosseo
Nado naega nuguyeossneunjido jal moreuge dwaesseo
Geoureda jikkeoryeobwa neoneun daeche nuguni

Neol wihaeseoramyeon nan
Seulpeodo gippeun cheok hal suga isseosseo
Neol wihaeseolamyeon nan
Apado ganghan cheok hal suga isseosseo
Sarangi sarangmaneuro wanbyeokhagil
Nae modeun yakjeomdeureun da sumgyeojigil
Ilwojiji anhneun kkumsogeseo
Piul su eopsneun kkocheul kiwosseo

Love you so bad, love you so bad
Neol wihae yeppeun geojiseul bijeonae
Love you so mad, love you so mad
Nal jiwo neoui inhyeongi doelyeo hae
Love you so bad, love you so bad
Neol wihae yeppeun geojiseul bijeonae
Love you so mad, love you so mad
Nal jiwo neoui inhyeongi doelyeo hae

I'm so sick of this fake love, fake love, fake love
I'm so sorry but it's fake love, fake love, fake love

Why you sad? I don't know nan molla
Useobwa salanghae malhaebwa
Nareul bwa najochado beolin na
Neojocha ihaehal su eopsneun na
Nachseolda hane
Niga johahadeon nalo byeonhan naega
Anira hane
Yejeone niga jal algo issdeon naega
Anigin mwoga anya nan nun meoreosseo
Sarangeun mwoga sarang it's all fake love

(Woo) I dunno I dunno I dunno why
(Woo) nado nal nado nal jal moreugesseo
(Woo) I just know I just know I just know why
Cuz its all fake love, fake love, fake love

Love you so bad, love you so bad
Neol wihae yeppeun geojiseul bijeonae
Love you so mad, love you so mad
Nal jiwo neoui inhyeongi doelyeo hae
Love you so bad, love you so bad
Neol wihae yeppeun geojiseul bijeonae
Love you so mad, love you so mad
Nal jiwo neoui inhyeongi doelyeo hae

I'm so sick of this fake love, fake love, fake love
I'm so sorry but it's fake love, fake love, fake love

Neol wihaeseoramyeon nan
Seulpeodo gippeun cheok hal suga isseosseo
Neol wihaeseolamyeon nan
Apado ganghan cheok hal suga isseosseo
Sarangi sarangmaneuro wanbyeokhagil
Nae modeun yakjeomdeureun da sumgyeojigil
Ilwojiji anhneun kkumsogeseo
Piul su eopsneun kkocheul kiwosseo",0.008323218673467636,0.003342603100463748,0.07185904681682587,0.8959702849388123,0.004288183990865946,0.004823947325348854,0.01139266137033701,2,0,77.5,0.72,0.35
BTS,Butter,"Smooth like butter
Like a criminal undercover
Gon' pop like trouble
Breakin' into your heart like that (Ooh)
Cool shade stunner
Yeah, I owe it all to my mother
Hot like summer
Yeah, I'm makin' you sweat like that
Break it down

Oh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow so (Ooh)
Do the boogie like

Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll

Smooth like butter
Pull you in like no other
Don't need no Usher
To remind me you got it bad
Ain't no other
That can sweep you up like a robber
Straight up, I got ya
Makin' you fall like that
Break it down

Oh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow so (Ooh)
Do the boogie like

Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll

Get it, let it roll
Get it, let it roll

Ice on my wrist, I'm the nice guy
Got the right body and the right mind
Rollin' up to party, got the right vibe
Smooth like (Butter), hate us (Love us)
Fresh boy pull up and we lay low
All the playas get movin' when the bass low
Got ARMY right behind us when we say so
Let's go

Side step, right, left to my beat (Right, left to my beat)
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap (You know that talk is cheap)
Side step, right, left to my beat
Get it, let it roll

Smooth like (Butter), cool shade (Stunner)
And you know we don't stop
Hot like (Summer), ain't no (Bummer)
You be like oh my god
We gon' make you rock and you say (Yeah)
We gon' make you bounce and you say (Yeah)
Hotter? Sweeter! Cooler? Butter!
Get it, let it roll",0.4633242189884186,0.0458880253136158,0.02690110169351101,0.27539965510368347,0.12613822519779205,0.045949529856443405,0.01639934629201889,8,1,110.0,0.46,0.7
BTS,DNA,"첫눈에 널 알아보게 됐어
서롤 불러왔던 것처럼
내 혈관 속 DNA가 말해줘
내가 찾아 헤매던 너라는 걸
우리 만남은 수학의 공식
종교의 율법 우주의 섭리
내게 주어진 운명의 증거, 너는 내 꿈의 출처
Take it, take it 너에게 내민 내 손은 정해진 숙명
걱정하지 마 love
이 모든 건 우연이 아니니까
우린 완전 달라 baby
운명을 찾아낸 둘이니까
우주가 생긴 그 날부터 계속 (계속)
무한의 세기를 넘어서 계속 (계속)
우린 전생에도 아마 다음 생에도
영원히 함께니까
이 모든 건 우연이 아니니까
운명을 찾아낸 둘이니까 DNA
I want it this love (this love), I want it real love (real love)
난 너에게만 집중해
좀 더 세게 날 이끄네
태초의 DNA가 널 원하는데 (하는데)
이건 필연이야 I love us (love us)
우리만이 true lovers (lovers)
그녀를 볼 때마다 소스라치게 놀라
신기하게 자꾸만 숨이 멎는 게 참 이상해 설마
이런 게 말로만 듣던 사랑이란 감정일까
애초부터 내 심장은 널 향해 뛰니까
걱정하지 마 love
이 모든 건 우연이 아니니까
우린 완전 달라 baby
운명을 찾아낸 둘이니까
우주가 생긴 그 날부터 계속 (계속)
무한의 세기를 넘어서 계속 (계속)
우린 전생에도 아마 다음 생에도
영원히 함께니까
이 모든 건 우연이 아니니까
운명을 찾아낸 둘이니까 DNA
돌아보지 말아
운명을 찾아낸 우리니까
후회하지 말아 baby
영원히 영원히 영원히 영원히
함께니까
걱정하지 마 love
이 모든 건 우연이 아니니까
우린 완전 달라 baby
운명을 찾아낸 둘이니까 DNA
La la la la la
La la la la la
우연이 아니니까
La la la la la
La la la la la
우연이 아니니까 DNA",0.36709529161453247,0.06548313051462173,0.17263458669185638,0.06916012614965439,0.2895539402961731,0.018209390342235565,0.017863592132925987,1,0,129.82,0.78,0.7
BTS,Blood Sweat & Tears,"Nae pi ttam nunmul nae majimak chumeul
Da gajyeoga ga
Nae pi ttam nunmul nae chagaun sumeul
Da gajyeoga ga
Nae pi ttam nunmul

Nae pi ttam nunmuldo
Nae mom maeum yeonghondo
Neoui geosin geol jal algo isseo
Igeon nareul beolbatge hal jumun
Peaches and cream
Sweeter than sweet
Chocolate cheeks
And chocolate wings
But neoui nalgaeneun akmaui geos
Neoui geu sweet apen bitter bitter

Kiss me apado dwae eoseo nal joyeojwo
Deo isang apeul sudo eopsge
Baby chwihaedo dwae ije neol deurikyeo
Mok gipsugi neoran wiseuki

Nae pi ttam nunmul nae majimak chumeul
Da gajyeoga ga
Nae pi ttam nunmul nae chagaun sumeul
Da gajyeoga ga

Wonhae manhi manhi manhi manhi
Wonhae manhi manhi manhi manhi manhi manhi
Wonhae manhi manhi manhi manhi
Wonhae manhi manhi manhi manhi manhi manhi

Apado dwae nal mukkeojwo naega domangchil su eopsge
Kkwak jwigo nal heundeureojwo naega jeongsin mot charige

Kiss me on the lips lips dulmanui bimil
Neoran gamoge jungdokdwae gipi
Niga anin dareun saram seomgiji moshae
Almyeonseodo samkyeobeorin dogi deun seongbae

Nae pi ttam nunmul nae majimak chumeul
Da gajyeoga ga
Nae pi ttam nunmul nae chagaun sumeul
Da gajyeoga ga

Wonhae manhi manhi manhi manhi
Wonhae manhi manhi manhi manhi manhi manhi
Wonhae manhi manhi manhi manhi
Wonhae manhi manhi manhi manhi manhi manhi

Nareul budeureopge jugyeojwo
Neoui songillo nun gamgyeojwo
Eochapi geobuhal sujocha eopseo

Deoneun domanggal sujocha eopseo
Niga neomu dalkomhae neomu dalkomhae
Neomu dalkomhaeseo

Nae pi ttam nunmul
Nae pi ttam nunmul",0.28318682312965393,0.10030383616685867,0.23571759462356567,0.27583691477775574,0.005324476398527622,0.050341587513685226,0.049288779497146606,0,0,92.9,0.89,0.61
BTS,I NEED U,"Fall (everything)
Fall (everything)
Fall (everything)
heuteojine
Fall (everything)
Fall (everything)
Fall (everything)
tteoreojine

neo ttaeme na ireohke mangajyeo
geumanhallae ije neo an gajyeo
mothagesseo mwot gataseo
jebal pinggye gateun geon samgajwo

niga nahante ireom an dwae
niga han modeun mareun andae
jinsireul garigo nal jjijeo
nal jjigeo na michyeo da sirheo
jeonbu gajyeoga nan niga geunyang miwo

But you're my everything (You're my)
Everything (You're my)
Everything (You're my)
jebal jom kkeojyeo huh

mianhae (I hate u)
saranghae (I hate u)
yongseohae

I need you girl
wae honja saranghago honjaseoman ibyeolhae
I need you girl
wae dachil geol amyeonseo jakku niga piryohae

I need you girl neon areumdawo
I need you girl neomu chagawo
I need you girl (I need you girl)
I need you girl [RM/JM] I need you girl

It goes round & round na wae jakku doraoji
I go down & down ijjeum doemyeon naega baboji
na museun jiseul haebwado eojjeol sugaeobtdago
bunmyeong nae simjang, nae maeum, nae gaseuminde
wae mareul an deutnyago
tto honjatmalhane (tto honjatmalhane)
tto honjatmalhane (tto honjatmalhane)
neon amu mal an hae a jebal naega jalhalge
haneureun tto parahge (haneureun tto parahge)

haneuri paraeseo haessari bitnaseo
nae nunmuri deo jal boina bwa
wae naneun neoinji wae hapil neoinji
wae neoreul tteonal suga eobtneunji

I need you girl
wae honja saranghago honjaseoman ibyeolhae
I need you girl
wae dachil geol amyeonseo jakku niga piryohae

I need you girl neon areumdawo
I need you girl neomu chagawo
I need you girl (I need you girl)
I need you girl [RM/JK] I need you girl

Girl charari charari heeojijago haejwo
Girl sarangi sarangi anieotdago haejwo
naegen geureol yonggigaeobseo
naege majimak seonmureul jwo
[JM/JK] deoneun doragal su eobtdorok

I need you girl
wae honja saranghago honjaseoman ibyeolhae
I need you girl
wae dachil geol amyeonseo jakku niga piryohae

I need you girl neon areumdawo
I need you girl neomu chagawo
I need you girl (I need you girl)
I need you girl [RM/JM/JK] I need you girl",0.2727487087249756,0.029438210651278496,0.20279063284397125,0.31231600046157837,0.03232692554593086,0.028009802103042603,0.12236973643302917,5,0,158.36,0.88,0.71
BTS,IDOL,"You can call me artist (artist)
You can call me idol (idol)
Anim eotteon dareun mwora haedo
I don’t care
I’m proud of it
Nan jayurobne
No more irony
Naneun hangsang nayeossgie

Songaragjil hae, naneun jeonhyeo singyeong sseuji anhne
Nareul yoghaneun neoui geu iyuga mwodeun gane
I know what I am
I know what I want
I never gon' change
I never gon' trade
(Trade off)

Mwol eojjeogo jeojjeogo tteodeureodaesyeo
I do what I do, geunikka neon neona jalhasyeo
You can’t stop me lovin’ myself

Eolssu johda
You can’t stop me lovin’ myself
Jihwaja johda
You can’t stop me lovin’ myself

Oh-oh-owoah
Oh-oh-owoah-owoah
Oh-oh-owoah
Deonggideok kungdeoreoreo
Eolssu
Oh-oh-owoah
Oh-oh-owoah-owoah
Oh-oh-owoah
Deonggideok kungdeoreoreo
Eolssu

Face off machi ousam, ay
Top star with that spotlight, ay
Ttaeron syupeohieoroga dwae
Dollyeodae neoui Anpanman
24sigani jeogji
Hesgallim, naegen sachi
I do my thang
I love myself

I love myself, I love my fans
Love my dance and my what
Nae soganen myeoch sib myeoch baegmyeongui naega isseo
Oneul tto dareun nal majihae
Eochapi jeonbu da naigie
Gominbodaneun gyang dalline
Runnin' man
Runnin' man
Runnin' man

Mwol eojjeogo jeojjeogo tteodeureodaesyeo
I do what I do, geunikka neon neona jalhasyeo
You can’t stop me lovin’ myself

Eolssu johda
You can’t stop me lovin’ myself
Jihwaja johda
You can’t stop me lovin’ myself

Oh-oh-owoah
Oh-oh-owoah-owoah
Oh-oh-owoah
Deonggideok kungdeoreoreo
Eolssu
Oh-oh-owoah
Oh-oh-owoah-owoah
Oh-oh-owoah
Deonggideok kungdeoreoreo
Eolssu

I’m so fine wherever I go
Gakkeum meolli doragado
It’s okay, I’m in love with my-my myself
It’s okay, nan i sungan haengbokhae

Eolssu johda
You can’t stop me lovin’ myself
Jihwaja johda
You can’t stop me lovin’ myself

Oh-oh-owoah
Oh-oh-owoah-owoah
Oh-oh-owoah
Deonggideok kungdeoreoreo
Eolssu
Oh-oh-owoah
Oh-oh-owoah-owoah
Oh-oh-owoah
Deonggideok kungdeoreoreo
Eolssu",0.45525282621383667,0.32495829463005066,0.043101079761981964,0.08749444037675858,0.005995976272970438,0.013934344053268433,0.06926313787698746,9,1,126.04,0.86,0.42
BLACKPINK,How You Like That,"BLACKPINK in your areaBLACKPINK in your area

보란 듯이 무너졌어boran deusi muneojyeosseo
바닥을 뚫고 저 지하까지badageul ttulkko jeo jihakkaji
옷 끝자락 잡겠다고ot kkeutjarak japgetdago
저 높이 두 손을 뻗어 봐도jeo nopi du soneul ppeodeo bwado

다시 캄캄한 이곳에 light up the skydasi kamkamhan igose light up the sky
네 두 눈을 보며, I′ll kiss you goodbyene du nuneul bomyeo, I′ll kiss you goodbye
실컷 비웃어라 꼴 좋으니까silkeot biuseora kkol joeunikka
이제 너희, 하나, 둘, 셋ije neohui, hana, dul, set

Ha, how you like that?Ha, how you like that?
You gon’ like that, that, that, that, thatYou gon’ like that, that, that, that, that
That, that, that, thatThat, that, that, that
How you like that? (Badabim badabum bumbum)How you like that? (Badabim badabum bumbum)
How you like that, that, that, that, thatHow you like that, that, that, that, that
That, that, that, thatThat, that, that, that

Now look at you, now look at meNow look at you, now look at me
Look at you, now look at meLook at you, now look at me
Look at you, now look at meLook at you, now look at me
How you like that?How you like that?
Now look at you, now look at meNow look at you, now look at me
Look at you, now look at meLook at you, now look at me
Look at you, now look at meLook at you, now look at me
How you like that?How you like that?

Your girl need it all and that′s a hunnidYour girl need it all and that′s a hunnid
백 개 중에 백, 내 몫을 원해baek gae jung-e baek, nae mokseul wonhae
Karma come and get someKarma come and get some
딱하지만 어쩔 수 없잖아ttakajiman eojjeol su eopjana
What's up? I'm right back (right back)What's up? I'm right back (right back)
방아쇠를 cock back (cock back)bang-asoereul cock back (cock back)
Plain Jane get hijackedPlain Jane get hijacked
Don’t like me?Don’t like me?
Then tell me how you like that, like thatThen tell me how you like that, like that

더 캄캄한 이곳에 shine like the starsdeo kamkamhan igose shine like the stars
그 미소를 띠며, I′ll kiss you goodbyegeu misoreul ttimyeo, I′ll kiss you goodbye
실컷 비웃어라 꼴 좋으니까silkeot biuseora kkol joeunikka
이제 너희, 하나, 둘, 셋ije neohui, hana, dul, set

Ha, how you like that?Ha, how you like that?
You gon’ like that, that, that, that, thatYou gon’ like that, that, that, that, that
That, that, that, thatThat, that, that, that
How you like that? (Badabim badabum bumbum)How you like that? (Badabim badabum bumbum)
How you like that, that, that, that, thatHow you like that, that, that, that, that
That, that, that, thatThat, that, that, that

Now look at you, now look at meNow look at you, now look at me
Look at you, now look at meLook at you, now look at me
Look at you, now look at meLook at you, now look at me
How you like that?How you like that?
Now look at you, now look at meNow look at you, now look at me
Look at you, now look at meLook at you, now look at me
Look at you, now look at meLook at you, now look at me
How you like that?How you like that?

날개 잃은 채로 추락했던 날nalgae ireun chaero churakaetdeon nal
어두운 나날 속에 갇혀 있던 날eoduun nanal soge gachyeo itdeon nal
그때쯤에 넌 날 끝내야 했어geuttaejjeume neon nal kkeunnaeya haesseo
Look up in the sky, it′s a bird, it's a planeLook up in the sky, it′s a bird, it's a plane

(Yeah, yeah, yeah)(Yeah, yeah, yeah)
Bring out your boss bitchBring out your boss bitch
(Yeah, yeah, yeah)(Yeah, yeah, yeah)
BLACKPINK!BLACKPINK!

(Dumdumdum dururum dumdumdum dururum)(Dumdumdum dururum dumdumdum dururum)
How you like that?How you like that?
(Dumdumdum dururum dumdumdum durururum)(Dumdumdum dururum dumdumdum durururum)
You gon’ like thatYou gon’ like that
(Dumdumdum dururum dumdumdum dururum)(Dumdumdum dururum dumdumdum dururum)
How you like that?How you like that?
(Dumdumdum dururu dumdumdum durururu)(Dumdumdum dururu dumdumdum durururu)",0.41578957438468933,0.08475084602832794,0.10354442149400711,0.2079208791255951,0.09784282743930817,0.03403306007385254,0.056118279695510864,11,1,130.03,0.76,0.34
BLACKPINK,Kill This Love,"Yeah, yeah, yeah
BLACKPINK IN YOUR AREA!
Yeah, yeah, yeah

천사 같은 ""hi"" 끝엔 악마 같은 ""bye""
매번 미칠듯한 high 뒤엔 뱉어야
하는 price
이건 답이 없는 test
매번 속더라도 yes
딱한 감정의 노예
얼어 죽을 사랑해

Here I come kick in the door
가장 독한 걸로 줘
뻔하디 뻔한 그 love
더 내놔봐 give me some more
알아서 매달려 벼랑 끝에
한마디면 또 like 헤벌레 해
그 따뜻한 떨림이 새빨간 설렘이
마치 heaven 같겠지만
You might not get in it

Look at me, look at you
누가 더 아플까
You smart 누가 you are
두 눈에 피눈물 흐르게 된다면
So sorry 누가 you are
나 어떡해 나약한 날 견딜 수 없어
애써 두 눈을 가린 채
사랑의 숨통을 끊어야겠어

Let's kill this love!
Yeah, yeah, yeah
Rum, pum, pum, pum, pum, pum, pum
Let's kill this love!
Rum, pum, pum, pum, pum, pum, pum

Feelin' like a sinner
It's so fire with him I go boo, ooh
He said you look crazy
Thank you baby
I owe it all to you
Got me all messed up
His love is my favorite
But you plus me
Sadly can be dangerous

Lucky me, lucky you
결국엔 거짓말 we lie
So what? So what?
만약에 내가 널 지우게
된다면 so sorry
I'm not sorry
나 어떡해 나약한 날 견딜 수 없어
애써 눈물을 감춘 채, eh
사랑의 숨통을 끊어야겠어

Let's kill this love!
Yeah, yeah, yeah, yeah, yeah
Rum, pum, pum, pum, pum, pum, pum
Let's kill this love!
Rum, pum, pum, pum, pum, pum, pum

We all commit to love
That makes you cry, oh oh
We're all making love
That kills you inside, yeah

We must kill this love (Yeah, yeah)
Yeah, it's sad but true
Gotta kill this love (Yeah, yeah)
Before it kills you too
Kill this love (Yeah, yeah)
Yeah, it's sad but true
Gotta kill this love (Yeah, yeah)
Let's kill this love!",0.2381218522787094,0.02435925044119358,0.5604391098022461,0.03158019855618477,0.10357887297868729,0.01090706791728735,0.031013652682304382,2,0,131.88,0.84,0.65
BLACKPINK,DDU-DU DDU-DU,"BLACKPINK!BLACKPINK!
Ah yeah, ah yeahAh yeah, ah yeah
BLACKPINK!BLACKPINK!
Ah yeah, ah yeahAh yeah, ah yeah

착한 얼굴에 그렇지 못한 태도chakan eolgure geureochi motan taedo
가녀린 몸매 속 가려진 volume은 두 배로ganyeorin mommae sok garyeojin volumeeun du baero
거침없이 직진 굳이 보진 않지 눈치geochimeopsi jikjin guji bojin anji nunchi
Black 하면 pink 우린 예쁘장한 savage (BLACKPINK!)Black hamyeon pink urin yeppeujanghan savage (BLACKPINK!)

원할 땐 대놓고 뺏지wonhal ttaen daenoko ppaetji
넌 뭘 해도 칼로 물 베기neon mwol haedo kallo mul begi
두 손엔 가득한 fat checkdu sonen gadeukan fat check
궁금하면 해봐 fact checkgunggeumhamyeon haebwa fact check
눈 높인 꼭대기nun nopin kkokdaegi
물 만난 물고기mul mannan mulgogi
좀 독해 난 toxicjom dokae nan toxic
You 혹해 I'm foxyYou hokae I'm foxy

두 번 생각해du beon saenggakae
흔한 남들처럼 착한 척은 못 하니까heunhan namdeulcheoreom chakan cheogeun mot hanikka
착각하지 마chakgakaji ma
쉽게 웃어주는 건 날 위한 거야swipge useojuneun geon nal wihan geoya
아직은 잘 모르겠지ajigeun jal moreugetji
굳이 원하면 test meguji wonhamyeon test me
넌 불 보듯이 뻔해neon bul bodeusi ppeonhae
만만한 걸 원했다면manmanhan geol wonhaetdamyeon

Oh, wait till I do what I doOh, wait till I do what I do
Hit you with that ddu-du ddu-du du (ah yeah, ah yeah)Hit you with that ddu-du ddu-du du (ah yeah, ah yeah)
Hit you with that ddu-du ddu-du du (ah yeah, ah yeah)Hit you with that ddu-du ddu-du du (ah yeah, ah yeah)
ddu-du ddu-du duddu-du ddu-du du

(Hit you with that, hit you with that, hit you with that)(Hit you with that, hit you with that, hit you with that)
BLACKPINK!BLACKPINK!

지금 내가 걸어가는 거린jigeum naega georeoganeun georin
BLACKPINK 4 way 사거리BLACKPINK 4 way sageori
동서남북 사방으로 run itdongseonambuk sabang-euro run it
너네 버킷리스트 싹 다 I bought itneone beokilliseuteu ssak da I bought it
널 당기는 것도 멀리 밀치는 것도neol danggineun geotdo meolli milchineun geotdo
제멋대로 하는 bad girljemeotdaero haneun bad girl
좋건 싫어하건 누가 뭐라 하던jokeon sireohageon nuga mwora hadeon
When the bass drop it’s another bangerWhen the bass drop it’s another banger

두 번 생각해du beon saenggakae
흔한 남들처럼 착한 척은 못 하니까heunhan namdeulcheoreom chakan cheogeun mot hanikka
착각하지 마chakgakaji ma
쉽게 웃어주는 건 날 위한 거야swipge useojuneun geon nal wihan geoya
아직은 잘 모르겠지ajigeun jal moreugetji
굳이 원하면 test meguji wonhamyeon test me
넌 불 보듯이 뻔해neon bul bodeusi ppeonhae
만만한 걸 원했다면manmanhan geol wonhaetdamyeon

Oh wait till I do what I doOh wait till I do what I do
Hit you with that ddu-du ddu-du du (ah yeah, ah yeah!)Hit you with that ddu-du ddu-du du (ah yeah, ah yeah!)
Hit you with that ddu-du ddu-du du (ah yeah, ah yeah!)Hit you with that ddu-du ddu-du du (ah yeah, ah yeah!)
ddu-du ddu-du duddu-du ddu-du du

What you gonna do when IWhat you gonna do when I
Come, come through with that, that, uh, uh huhCome, come through with that, that, uh, uh huh
What you gonna do when IWhat you gonna do when I
Come, come through with that, that, uh, uh huhCome, come through with that, that, uh, uh huh

뜨거워 뜨거워 뜨거워 like firetteugeowo tteugeowo tteugeowo like fire
(ddu-du ddu-du du, ddu-du ddu-du du)(ddu-du ddu-du du, ddu-du ddu-du du)
뜨거워 뜨거워 뜨거워 like firetteugeowo tteugeowo tteugeowo like fire
(ddu-du ddu-du du, ddu-du ddu-du du)(ddu-du ddu-du du, ddu-du ddu-du du)

BLACKPINK!BLACKPINK!
Hey!Hey!
ddu-du ddu-du du du du duddu-du ddu-du du du du du
Ah yeah, ah yeah, ah yeah, ah yeahAh yeah, ah yeah, ah yeah, ah yeah
뜨거워 뜨거워 뜨거워 like firetteugeowo tteugeowo tteugeowo like fire
뜨거워 뜨거워 뜨거워 like firetteugeowo tteugeowo tteugeowo like fire

Hit you with that ddu-du ddu-du duHit you with that ddu-du ddu-du du",0.3046991527080536,0.12687979638576508,0.08373482525348663,0.24084754288196564,0.10382162034511566,0.03681192919611931,0.103205107152462,4,0,140.04,0.83,0.39
