artist,song,lyrics,surprise,joy,neutral,sadness,fear,anger,disgust,key,mode,tempo,energy,valence
Taylor Swift,Blank Space,"Nice to meet you
Where you been?
I could show you incredible things
Magic, madness, heaven, sins
Saw you there and I thought oh my god
Look at that face, you look like my next mistake
Love's a game, wanna play?
New money, suit and tie
I can read you like a magazine
Ain't it funny rumors fly
And I know you heard about me
So hey, let's be friends
I'm dying to see how this one ends
Grab your passport and my hand
I can make the bad guys good for a weekend

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
Cause you know I love the players
And you love the game

Cause we're young and we're reckless
We'll take this way too far, It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space baby
And I'll write your name

Cherry lips
Crystal skies
I could show you incredible things
Stolen kisses, pretty lies
You're the king baby I'm your queen
Find out what you want
Be that girl for a month
Wait, the worst is yet to come
Oh no
Screaming, crying, perfect storms
I can make all the tables turn
Rose garden filled with thorns
Keep you second guessing like, oh my god
Who is she? I get drunk on jealousy
But you'll come back each time you leave
Cause darling I'm a nightmare dressed like a daydream

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
Cause you know I love the players
And you love the game

Cause we're young and we're reckless
We'll take this way too far, It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space baby
And I'll write your name

Boys only want love
If it's torture
Don't say I didn't say I didn't warn you
Boys only want love, If it's torture
Don't say I didn't say I didn't warn you

So it's gonna be forever
Or it's gonna go down in flames
You can tell me when it's over
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
Cause you know I love the players
And you love the game

Cause we're young and we're reckless
We'll take this way too far, It'll leave you breathless
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space baby
And I'll write your name",0.881859183,0.033812977,0.030993374,0.021404173,0.014393396,0.010975961,0.006560883,5,1,96.01,0.68,0.58
Taylor Swift,Cruel Summer,"(Yeah, yeah, yeah, yeah)

Fever dream high in the quiet of the night
You know that I caught it (oh, yeah, you're right, I want it)
Bad, bad boy, shiny toy with a price
You know that I bought it (oh, yeah, you're right, I want it)

Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more

And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa oh
It's a cruel summer
With you

Hang your head low in the glow of the vending machine
I'm not dying (oh, yeah, you're right, I want it)
You say that we'll just screw it up in these trying times
We're not trying (oh, yeah, you're right, I want it)

So cut the headlights, summer's a knife
I'm always waiting for you just to cut to the bone
Devils roll the dice, angels roll their eyes
And if I bleed, you'll be the last to know

Oh, it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa oh
It's a cruel summer
With you

I'm drunk in the back of the car
And I cried like a baby coming home from the bar (oh)
Said I'm fine, but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer, just to seal my fate (oh)
And I scream for whatever it's worth
I love you, ain't that the worst thing you ever heard?
He looks up, grinning like a devil

And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa oh
It's a cruel summer
With you

I'm drunk in the back of the car
And I cried like a baby coming home from the bar (oh)
Said I'm fine, but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer, just to seal my fate (oh)
And I scream for whatever it's worth
I love you, ain't that the worst thing you ever heard?
(Yeah, yeah, yeah, yeah)",0.01315669,0.016586283,0.145919487,0.029140476,0.260845423,0.288337588,0.246014059,9,1,169.99,0.7,0.56
Taylor Swift,Shake It Off,"I stay out too late
Got nothing in my brain
That's what people say, hm, hm
That's what people say, hm, hm

I go on too many dates
But I can't make them stay
At least that's what people say, hm, hm
That's what people say, hm, hm

But I keep cruising
Can't stop, won't stop moving
It's like I got this music
In my mind, saying it's gonna be alright

'Cause the players gonna play (play, play, play, play)
And the haters gonna hate (hate, hate, hate, hate)
Baby, I'm just gonna shake (shake, shake, shake, shake)
I shake it off, I shake it off

Heartbreakers gonna break (break, break, break, break)
And the fakers gonna fake (fake, fake, fake, fake)
Baby, I'm just gonna shake (shake, shake, shake, shake)
I shake it off, I shake it off

I never miss a beat
I'm lightning on my feet
And that's what they don't see, hm, hm
That's what they don't see, hm, hm

I'm dancing on my own (dancing on my own)
I make the moves up as I go (moves up as I go)
And that's what they don't know, hm, hm
That's what they don't know, hm, hm

But I keep cruising
Can't stop, won't stop grooving
It's like I got this music
In my mind, saying it's gonna be alright

'Cause the players gonna play (play, play, play, play)
And the haters gonna hate (hate, hate, hate, hate)
Baby, I'm just gonna shake (shake, shake, shake, shake)
I shake it off, I shake it off

Heartbreakers gonna break (break, break, break, break)
And the fakers gonna fake (fake, fake, fake, fake)
Baby, I'm just gonna shake (shake, shake, shake, shake)
I shake it off, I shake it off

Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off

Hey, hey, hey!
Just think while you've been getting down and out about the liars
And the dirty, dirty cheats of the world
You could've been getting down to this sick beat

My ex-man brought his new girlfriend
And she's like: Oh my God
But I'm just gonna shake
And to the fella over there with the hella good hair
Won't you come on over, baby?
We can shake, shake, shake
Yeah, oh!

'Cause the players gonna play (play, play, play, play)
And the haters gonna hate (hate, hate, hate, hate) (haters gonna hate)
Baby, I'm just gonna shake (shake, shake, shake, shake)
I shake it off, I shake it off

Heartbreakers gonna break (break, break, break, break)
And the fakers gonna fake (fake, fake, fake, fake)
Baby, I'm just gonna shake (shake, shake, shake, shake)
I shake it off, I shake it off

Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off

Shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off

Shake it off, I shake it off
I, I, I shake it off, I shake it off (you got to)
I, I, I shake it off, I shake it off
I, I, I shake it off, I shake it off",0.014898324,0.006023239,0.190369353,0.036084436,0.639317036,0.08470197,0.028605668,7,1,160.02,0.79,0.94
Taylor Swift,Style,"Midnight
You come and pick me up, no headlights
A long drive
Could end in burning flames or paradise

Fade into view, oh
It's been a while since I have even heard from you
(Heard from you)

And I should just tell you to leave, 'cause I
Know exactly where it leads, but I
Watch us go 'round and 'round each time

You got that James Dean daydream look in your eye
And I got that red lip, classic thing that you like
And when we go crashing down, we come back every time
'Cause we never go out of style
We never go out of style

You got that long hair, slicked back, white t-shirt
And I got that good girl faith and a tight little skirt
And when we go crashing down, we come back every time
'Cause we never go out of style
We never go out of style

So it goes
He can't keep his wild eyes on the road
Takes me home
The lights are off, he's taking off his coat

I say: I heard, oh
That you've been out and about with some other girl
(Some other girl)

He says: What you heard is true, but I
Can't stop thinking about you, and I
I said: I've been there too, a few times

'Cause you got that James Dean daydream look in your eye
And I got that red lip, classic thing that you like
And when we go crashing down, we come back every time
'Cause we never go out of style
We never go out of style

You got that long hair, slicked back, white t-shirt
And I got that good girl faith and a tight little skirt (a tight little skirt)
And when we go crashing down, we come back every time
'Cause we never go out of style (we never go, we never go)
We never go out of style

Take me home
Just take me home
Yeah, just take me home
Oh, oh, oh
(Out of style)

You got that James Dean daydream look in your eye
And I got that red lip, classic thing that you like
And when we go crashing down, we come back every time (and when we go)
'Cause we never go out of style
We never go out of style",0.023874953,0.006979682,0.09986949,0.034349274,0.540427685,0.275397509,0.019101368,2,1,95.02,0.79,0.46
Taylor Swift,cardigan,"Vintage tee, brand-new phone
High heels on cobblestones
When you are young, they assume you know nothing
Sequin smile, black lipstick
Sensual politics
When you are young, they assume you know nothing

But I knew you
Dancin' in your Levi's
Drunk under a streetlight, I
I knew you
Hand under my sweatshirt
Baby, kiss it better, I

And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite

A friend to all is a friend to none
Chase two girls, lose the one
When you are young, they assume you know nothing

But I knew you
Playing hide-and-seek and
Giving me your weekends, I
I knew you
Your heartbeat on the High Line
Once in twenty lifetimes, I

And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite

To kiss in cars and downtown bars
Was all we needed
You drew stars around my scars
But now I'm bleedin'

'Cause I knew you
Steppin' on the last train
Marked me like a bloodstain, I
I knew you
Tried to change the ending
Peter losing Wendy, I
I knew you
Leavin' like a father
Running like water, I
And when you are young, they assume you know nothing

But I knew you'd linger like a tattoo kiss
I knew you'd haunt all of my what-ifs
The smell of smoke would hang around this long
'Cause I knew everything when I was young
I knew I'd curse you for the longest time
Chasin' shadows in the grocery line
I knew you'd miss me once the thrill expired
And you'd be standin' in my front porch light
And I knew you'd come back to me
You'd come back to me
And you'd come back to me
And you'd come back

And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite",0.120869547,0.022433937,0.364790887,0.021661595,0.178899854,0.022692857,0.268651366,0,0,130.03,0.58,0.55
Taylor Swift,Love Story,"We were both young, when I first saw you.
I close my eyes and the flashback starts-
I'm standing there, on a balcony in summer air.

I see the lights; see the party, the ball gowns.
I see you make your way through the crowd-
You say hello, little did I know...

That you were Romeo, you were throwing pebbles-
And my daddy said ""stay away from Juliet""-
And I was crying on the staircase-
begging you, ""Please don't go...""
And I said...

Romeo take me somewhere, we can be alone.
I'll be waiting; all there's left to do is run.
You'll be the prince and I'll be the princess,
It's a love story, baby, just say yes.

So I sneak out to the garden to see you.
We keep quiet, because we're dead if they knew-
So close your eyes... escape this town for a little while.
Oh, Oh.

Cause you were Romeo - I was a scarlet letter,
And my daddy said ""stay away from Juliet"" -
but you were everything to me-
I was begging you, ""Please don't go""
And I said...

Romeo take me somewhere, we can be alone.
I'll be waiting; all there's left to do is run.
You'll be the prince and I'll be the princess.
It's a love story, baby, just say yes-

Romeo save me, they're trying to tell me how to feel.
This love is difficult, but it's real.
Don't be afraid, we'll make it out of this mess.
It's a love story, baby, just say yes.
Oh, Oh.

I got tired of waiting.
Wondering if you were ever coming around.
My faith in you was fading-
When I met you on the outskirts of town.
And I said...

Romeo save me, I've been feeling so alone.
I keep waiting, for you but you never come.
Is this in my head, I don't know what to think-
He knelt to the ground and pulled out a ring and said...

Marry me Juliet, you'll never have to be alone.
I love you, and that's all I really know.
I talked to your dad -- go pick out a white dress
It's a love story, baby just say... yes.
Oh, Oh, Oh, Oh, Oh.

'cause we were both young when I first saw you",0.313822776,0.095655657,0.23933585,0.013928442,0.219307169,0.038678538,0.079271622,2,1,118.98,0.74,0.3
Taylor Swift,You Belong with Me,"You're on the phone with your girlfriend, she's upset
She's going off about something that you said
'Cause she doesn't get your humor like I do
I'm in the room, it's a typical Tuesday night
I'm listening to the kind of music she doesn't like
And she'll never know your story like I do

But she wears short skirts, I wear T-shirts
She's Cheer Captain and I'm on the bleachers
Dreaming 'bout the day when you wake up and find
That what you're looking for has been here the whole time

If you could see that I'm the one who understands you

Been here all along, so why can't you see?
You belong with me, you belong with me

Walking the streets with you and your worn-out jeans
I can't help thinking this is how it ought to be
Laughing on a park bench, thinking to myself
Hey, isn't this easy?
And you've got a smile that could light up this whole town
I haven't seen it in a while since she brought you down
You say you're fine, I know you better than that
Hey, whatcha doing with a girl like that?

She wears high heels, I wear sneakers
She's Cheer Captain and I'm on the bleachers
Dreaming 'bout the day when you wake up and find

That what you're looking for has been here the whole time

If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time, how could you not know, baby?
You belong with me, you belong with me

Oh, I remember you driving to my house
In the middle of the night
I'm the one who makes you laugh
When you know you're 'bout to cry
And I know your favorite songs
And you tell me 'bout your dreams
Think I know where you belong

Think I know it's with me

Can't you see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time, how could you not know, baby?
You belong with me, you belong with me

You belong with me
Have you ever thought just maybe
You belong with me?
You belong with me",0.013953416,0.004858345,0.425896019,0.02670536,0.073341735,0.174993724,0.280251443,6,1,130.03,0.77,0.47
Taylor Swift,august,"Salt air and the rust on your door
I never needed anything more
Whispers of: Are you sure?
Never have I ever before

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine

Your back beneath the Sun
Wishing I could write my name on it
Will you call when you're back at school?
I remember thinking I had you

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine

Back when we were still changing for the better
Wanting was enough
For me, it was enough
To live for the hope of it all
Cancel plans just in case you'd call
And say: Meet me behind the mall
So much for summer love and saying us
'Cause you weren't mine to lose
You weren't mine to lose, oh

But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine

'Cause you were never mine
Never mine
But do you remember?

Remember when I pulled up and said: Get in the car
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all, for the hope of it all
Meet me behind the mall

(Remember when I pulled up and said: Get in the car)
(And then canceled my plans just in case you'd call?)
(Back when I was livin' for the hope of it all, for the hope of it all)
(Meet me behind the mall)

Remember when I pulled up and said: Get in the car
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all (for the hope of it all)
For the hope of it all, for the hope of it all
(For the hope of it all, for the hope of it all)",0.042210776,0.003215847,0.022521555,0.037751202,0.862748146,0.015092685,0.016459685,5,1,89.94,0.62,0.4
Ed Sheeran,Shape of You,"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow

Come over and start up a conversation with just me
And trust me, I'll give it a chance
Now take my hand, stop, put Van The Man on the jukebox
And then we start to dance
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say: Boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Everyday discovering something brand new
I'm in love with your body

Oh I, oh I, oh I, oh I
I'm in love with your body
Oh I, oh I, oh I, oh I
I'm in love with your body
Oh I, oh I, oh I, oh I
I'm in love with your body
Everyday discovering something brand new
I'm in love with the shape of you

One week in, we let the story begin
We're going out on our first date
You and me are thrifty, so go all you can eat
Fill up your bag and I fill up a plate

We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver: Make the radio play
And I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say: Boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Everyday discovering something brand new
I'm in love with your body

Oh I, oh I, oh I, oh I
I'm in love with your body
Oh I, oh I, oh I, oh I
I'm in love with your body
Oh I, oh I, oh I, oh I
I'm in love with your body
Everyday discovering something brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bedsheets smell like you
Everyday discovering something brand new
I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on (I'm in love with your body)
Come on, be my baby, come on
Come on, be my baby, come on (I'm in love with your body)

Come on, be my baby, come on
Come on, be my baby, come on (I'm in love with your body)
Everyday discovering something brand new
I'm in love with the shape of you",0.013686042,0.025436167,0.339513451,0.039715555,0.255322486,0.27459842,0.051727816,1,0,95.98,0.65,0.93
Ed Sheeran,Thinking Out Loud,"When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?
And darling I will be loving you till we're 70
And baby my heart could still fall as hard at 23
And I'm thinking about how

People fall in love in mysterious ways
Maybe just a touch of a hand
Well me I fall in love with you every single day
And I just wanna tell you I am

So honey now, take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart, I'm thinking out loud
And maybe we found love right where we are

When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way
I know you will still love me the same
Cause honey your soul could never grow old, it's evergreen
And baby your smile's forever in my mind and memory
And I'm thinking about how

People fall in love in mysterious ways
And maybe it's all part of a plan
I'll just keep on making the same mistakes
Hoping that you'll understand

But baby now, take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart, I'm thinking out loud
And maybe we found love right where we are

So baby now, take me into your loving arms
Kiss me under the light of a thousand stars, oh darling
Place your head on my beating heart, I'm thinking out loud
That maybe we found love right where we are
And baby we found love right where we are
And we found love right where we are",0.013705446,0.012934525,0.053047508,0.9023844,0.004683989,0.007413876,0.005830333,2,1,79,0.45,0.59
